584  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.washerUser()
683  [main] TRACE o.s.c.a.ConfigurationClassEnhancer -- Successfully enhanced com.ssafy.live.washer.bean.WasherConfig; enhanced class name is: com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0
683  [main] TRACE o.s.c.a.ConfigurationClassPostProcessor -- Replacing bean definition 'washerConfig' existing class 'com.ssafy.live.washer.bean.WasherConfig' with enhanced class 'com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0'
684  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
684  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
689  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.event.internalEventListenerProcessor' to allow for resolving potential circular references
690  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
691  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
691  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
691  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.event.internalEventListenerFactory' to allow for resolving potential circular references
692  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
693  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
693  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
695  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
695  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
697  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'messageSource' bean, using [Empty MessageSource]
699  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'applicationEventMulticaster' bean, using [SimpleApplicationEventMulticaster]
700  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@54a7079e: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,washerConfig,sWasher,lWasher,washerUser]; root of factory hierarchy
701  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
701  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
701  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
701  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
701  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'washerConfig'
701  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'washerConfig'
